1204.58	657.575	2396.91
1205.19	657.356	2398.37
1204.2	656.662	2397.73
1202.19	656.443	2393.77
1202.25	656.89	2392.74
1202.72	657.151	2393.43
1201.78	657.482	2392.45
1200.03	658.173	2388.75
1199.36	658.311	2386.86
1198.35	657.783	2383.48
1197.94	655.965	2381.58
1197.93	654.773	2383.85
1198.45	655.975	2385.92
1197.87	655.843	2378.57
1195.67	655.418	2371.59
1193.85	656.388	2372.32
1194.75	658.044	2375.2
1195.34	660.665	2374.51
1193.77	660.577	2371.83
1191.53	659.514	2367.89
1191.52	659.584	2366.95
1191.55	659.732	2365.95
1191.37	660.669	2365.04
1190.84	661.792	2361.66
1191.9	661.463	2361.05
1193.85	661.582	2363.08
1191.86	661.385	2360.66
1188.5	661.071	2354.47
1187.36	661.015	2351.6
1185.9	659.801	2348.17
1185.98	659.865	2347.07
1185.7	661.013	2343.39
1185.5	661.901	2340.93
1186.1	664.175	2344.08
1185.35	663.973	2344.9
1183.43	662.443	2339.92
1183	661.823	2337.56
1182.32	660.9	2333.76
1182.96	661.96	2332.45
1184.54	663.218	2334.42
1182.88	663.138	2332.67
1179.68	663.333	2325.31
1179.69	662.442	2322.87
1180.03	660.619	2321.08
1179.48	660.185	2318.99
1179.11	660.472	2319.77
1180.16	661.37	2321.74
1181.2	662.238	2320.58
1180.39	662.291	2318.12
1179.24	662.948	2315.34
1177.59	664.158	2312.47
1175.28	665.609	2308.96
1176.42	664.98	2309.68
1177.85	663.996	2308.92
1177.44	664.39	2306.86
1177	664.809	2304.78
1175.31	664.635	2301.85
1172.57	664.246	2295.8
1171.72	663.601	2292.88
1170.78	663.109	2291.21
1170.9	664.011	2290.9
1171.04	665.346	2290.15
1171.21	665.229	2289.77
1171.21	665.118	2287.43
1170.75	665.953	2285.34
1170.06	666.799	2281.88
1168.82	666.807	2278.73
