851.45mm -48.93mm 2694.68mm
722.82mm -34.33mm 2221.26mm
721.66mm -33.27mm 2216.79mm
721.99mm -32.93mm 2215.34mm
722.5mm -32.46mm 2212.92mm
722.42mm -32.61mm 2210.66mm
722.3mm -33.17mm 2207.1mm
722.24mm -32.96mm 2204.82mm
722.15mm -31.79mm 2202.03mm
721.68mm -31.23mm 2199.6mm
721.07mm -30.96mm 2194.73mm
720.35mm -30.06mm 2191.12mm
719.41mm -28.81mm 2183.68mm
719.3mm -28.79mm 2179.38mm
719.05mm -28.49mm 2174.22mm
718.58mm -27.78mm 2170.39mm
717.64mm -27.16mm 2167.84mm
718.14mm -27.21mm 2167.66mm
719.01mm -27.31mm 2165.79mm
718.93mm -27.17mm 2163.65mm
718.94mm -26.3mm 2158.77mm
718.73mm -26.32mm 2155.19mm
718.41mm -26.45mm 2150.01mm
718.61mm -26.16mm 2147.17mm
718.99mm -25.42mm 2141.76mm
719.26mm -24.48mm 2138.22mm
719.53mm -23.92mm 2134.41mm
719.2mm -24.39mm 2131.12mm
718.77mm -24.63mm 2125.32mm
718.28mm -23.56mm 2121.29mm
717.62mm -22.5mm 2114.1mm
717.37mm -22.29mm 2109.52mm
716.83mm -21.26mm 2105.19mm
716.7mm -21.68mm 2102.55mm
716.52mm -22.01mm 2098.36mm
716.66mm -21.33mm 2095.97mm
717.05mm -21.13mm 2089.68mm
716.75mm -21.21mm 2084.74mm
716.1mm -20.79mm 2080.38mm
715.97mm -20.07mm 2077.92mm
715.83mm -19.51mm 2073.4mm
715.84mm -19.83mm 2070.48mm
715.97mm -19.52mm 2064.72mm
715.57mm -19.05mm 2060.28mm
714.81mm -19.38mm 2055.56mm
714.05mm -19.2mm 2052.12mm
713.11mm -18.31mm 2044.72mm
713.21mm -18mm 2040.75mm
713.34mm -17.29mm 2035.28mm
713.67mm -17.11mm 2031.94mm
714.2mm -17.2mm 2026.44mm
714.47mm -17.29mm 2022.67mm
714.77mm -18.06mm 2018.16mm
715.71mm -18.89mm 2016.09mm
717.08mm -19.47mm 2013.75mm
716.1mm -18.63mm 2009.84mm
714.81mm -17.03mm 2001.77mm
714.79mm -16.61mm 1997.42mm
714.59mm -16.05mm 1993.25mm
714.59mm -15.52mm 1990.67mm
714.52mm -15.89mm 1987.5mm
714.24mm -16.3mm 1985.08mm
713.84mm -15.78mm 1981.5mm
714.16mm -15.53mm 1979.84mm
714.75mm -16.18mm 1975.38mm
714.98mm -17.05mm 1972.2mm
715.36mm -17.31mm 1967.56mm
715.1mm -16.58mm 1963.9mm
714.38mm -16.23mm 1962.49mm
714.02mm -17.11mm 1961.62mm
713.8mm -18.07mm 1956.16mm
713.06mm -16.93mm 1951.91mm
711.84mm -15.15mm 1947.07mm
712.88mm -15.99mm 1946.02mm
714.33mm -17.23mm 1945.76mm
713.47mm -16.46mm 1943.42mm
712.1mm -15.95mm 1940.57mm
711.3mm -16.1mm 1938.77mm
710.27mm -16.09mm 1933.86mm
711.08mm -16.59mm 1932.39mm
712.21mm -17.67mm 1930.92mm
711.72mm -17.6mm 1928.45mm
710.95mm -16.5mm 1925.68mm
711.03mm -16.9mm 1924.49mm
711.06mm -18.9mm 1923.28mm
711.27mm -19.84mm 1922.73mm
711.65mm -19.9mm 1921.4mm
711.44mm -19.59mm 1919.95mm
711.2mm -19.29mm 1916.61mm
712.06mm -19.29mm 1915.61mm
713.28mm -20.12mm 1914.69mm
712.96mm -20.26mm 1912.72mm
712.4mm -20.29mm 1910.94mm
712.59mm -20.47mm 1910.43mm
712.9mm -20.29mm 1909.7mm
713.39mm -20.87mm 1909.53mm
714.02mm -22.23mm 1910.57mm
713.71mm -22.81mm 1910.39mm
713.48mm -23.59mm 1907.06mm
713.46mm -23.55mm 1905.04mm
713.22mm -23.38mm 1904.77mm
713.34mm -23.97mm 1904.89mm
713.72mm -24.46mm 1902.65mm
